MassAniso: 0.207901
RelativeDielectric: 11.4

Energy SU(meV): 19.9437
Length SU(nm): 3.16673


PotentialIdx,Exponent,Coefficient(Real),Coefficient(Imag),Symmetry,
0,-1,-2,0,

SolidAngleFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

SlaterFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0

GaussFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0


WavefunctionType: 1

BasisIdx,m,l,k,Azimuth,Symmetry,
0,0,0,0,1,A1
1,0,0,1,1,A1
2,0,0,2,1,A1
3,0,0,3,1,A1
4,0,2,0,1,A1
5,0,2,1,1,A1
6,0,2,2,1,A1
7,0,2,3,1,A1
8,0,4,0,1,A1
9,0,4,1,1,A1
10,0,4,2,1,A1
11,0,4,3,1,A1
12,0,6,0,1,A1
13,0,6,1,1,A1
14,0,6,2,1,A1
15,0,6,3,1,A1


Radius0(AU),Aniso0,Energy0(AU),Variance0,Energy1(AU),Variance1,Energy2(AU),Variance2,Energy3(AU),Variance3,Energy4(AU),Variance4,Energy5(AU),Variance5,Energy6(AU),Variance6,Energy7(AU),Variance7,Energy8(AU),Variance8,Energy9(AU),Variance9,Energy10(AU),Variance10,Energy11(AU),Variance11,Energy12(AU),Variance12,Energy13(AU),Variance13,Energy14(AU),Variance14,Energy15(AU),Variance15,Del
0.05,0.475391,5.3272,96.4978,22.3325,35.521,30.1304,4.29796,50.958,3.94852,75.6058,9.88075,89.2936,1.83831,96.0887,4.64032,171.925,1.96863,185.799,1.35045,230.734,0.775693,292.122,5.11215,431.355,0.846369,598.503,0.592956,735.919,2.50906,1234.96,1.05233,2766.04,2.08731,0
0.05,0.494727,5.5044,94.1724,22.6475,34.1057,30.7187,4.62818,51.0422,3.95852,77.6106,9.10067,89.4164,1.81572,96.6177,4.91567,172.055,1.97631,189.426,1.21927,230.72,0.777857,294.98,4.99025,432.248,0.855738,599.185,0.600647,738.447,2.47769,1236.55,1.04856,2767.69,2.08802,0
0.05,0.514063,5.69205,91.8079,22.9593,32.6783,31.3606,4.97038,51.1349,3.96398,79.6823,8.28464,89.5447,1.81399,97.197,5.2182,172.199,1.98544,193.145,1.10492,230.712,0.779909,298.032,4.86051,433.181,0.865478,599.89,0.609516,741.127,2.44465,1238.22,1.04464,2769.51,2.08874,0
0.05,0.533398,5.88965,89.4375,23.2678,31.2604,32.0556,5.30698,51.2364,3.96531,81.8077,7.40873,89.6855,1.84801,97.8324,5.55813,172.358,1.99546,196.945,1.00821,230.71,0.781833,301.288,4.72286,434.156,0.875588,600.616,0.619581,743.961,2.40998,1239.99,1.04058,2771.5,2.08949,0
0.05,0.552734,6.09673,87.0879,23.5734,29.8705,32.8031,5.62301,51.3466,3.96291,83.9617,6.42289,89.8547,1.95505,98.5323,5.94919,172.531,2.0061,200.817,0.929425,230.715,0.783616,304.758,4.57733,435.169,0.88607,601.361,0.630852,746.952,2.37375,1241.84,1.03637,2773.64,2.09025,0
0.05,0.57207,6.31283,84.7805,23.8769,28.523,33.602,5.90709,51.4658,3.95718,86.0832,5.19739,90.0993,2.24853,99.3102,6.40844,172.718,2.01719,204.747,0.868459,230.725,0.785248,308.45,4.42408,436.221,0.896928,602.123,0.643325,750.1,2.33602,1243.78,1.03204,2775.95,2.09105,0
0.05,0.591406,6.53752,82.5317,24.1792,27.2278,34.451,6.15159,51.5941,3.94855,87.9726,3.39997,90.5971,3.04365,100.187,6.95346,172.919,2.02863,208.725,0.824891,230.742,0.786718,312.374,4.26342,437.311,0.908169,602.9,0.65699,753.408,2.29687,1245.81,1.02758,2778.42,2.09186,0
0.05,0.610742,6.77036,80.3537,24.4813,25.9911,35.3489,6.35237,51.7315,3.93745,89.1307,1.61564,91.8134,3.74858,101.197,7.59143,173.134,2.04034,212.741,0.797997,230.765,0.788016,316.54,4.09584,438.437,0.919806,603.69,0.671827,756.878,2.25639,1247.93,1.02299,2781.04,2.09271,0
0.05,0.630078,7.01094,78.2552,24.7843,24.8156,36.2942,6.50814,51.8783,3.92437,89.5944,1.17808,93.6599,3.06121,102.391,8.29095,173.362,2.05229,216.782,0.786779,230.795,0.789136,320.955,3.92201,439.6,0.931858,604.491,0.687808,760.51,2.21467,1250.15,1.01828,2783.83,2.09358,0
0.05,0.649414,7.25885,76.2423,25.0892,23.7017,37.2857,6.61974,52.0347,3.90987,89.8303,1.12835,95.6026,2.05454,103.835,8.93797,173.604,2.06445,220.84,0.789986,230.83,0.790067,325.627,3.74279,440.798,0.944351,605.302,0.704898,764.307,2.17182,1252.45,1.01345,2786.77,2.09449,0
0.05,0.66875,7.51368,74.3186,25.3971,22.6478,38.3219,6.6894,52.2008,3.8946,89.9976,1.12741,97.4147,1.26275,105.597,9.33729,173.86,2.07682,224.904,0.806159,230.872,0.790789,330.564,3.5592,442.032,0.957323,606.122,0.723057,768.268,2.12794,1254.85,1.00852,2789.87,2.09544,0
0.05,0.688086,7.77504,72.4857,25.709,21.6513,39.4016,6.72014,52.377,3.87934,90.1387,1.1304,99.0212,0.87167,107.709,9.34769,174.128,2.0894,228.967,0.833783,230.919,0.791161,335.77,3.37239,443.302,0.970825,606.949,0.74224,772.396,2.08315,1257.34,1.00347,2793.13,2.09642,0
0.05,0.707422,8.04253,70.744,26.0256,20.7086,40.5235,6.7152,52.5636,3.86512,90.2682,1.13147,100.429,0.840778,110.149,9.01522,174.41,2.10221,230.973,0.79212,233.022,0.870141,341.249,3.18361,444.607,0.984924,607.783,0.762398,776.691,2.03756,1259.92,0.998321,2796.55,2.09743,0
0.05,0.726758,8.31576,69.0924,26.3479,19.8162,41.6864,6.67763,52.761,3.85329,90.3925,1.13041,101.685,1.01351,112.863,8.49625,174.705,2.11529,231.034,0.792119,237.063,0.914936,347.004,2.99414,445.949,0.999714,608.623,0.783478,781.154,1.9913,1262.6,0.993071,2800.12,2.09849,0
0.05,0.746094,8.59435,67.5291,26.6765,18.9703,42.8887,6.60982,52.9699,3.84573,90.5149,1.12777,102.842,1.25886,115.797,7.92074,175.013,2.1287,231.1,0.792071,241.086,0.965406,353.035,2.80523,447.327,1.01532,609.467,0.80543,785.784,1.94447,1265.38,0.987724,2803.86,2.09959,0
0.05,0.76543,8.87791,66.0515,27.0122,18.1672,44.1291,6.51303,53.191,3.84525,90.6371,1.12408,103.939,1.50821,118.907,7.35622,175.334,2.14252,231.173,0.79185,245.087,1.01989,359.341,2.61804,448.744,1.03189,610.316,0.828199,790.583,1.89719,1268.25,0.982283,2807.75,2.10073,0
0.05,0.784766,9.16606,64.6566,27.3554,17.4037,45.4056,6.38665,53.4258,3.85618,90.7604,1.11969,105.004,1.73474,122.164,6.82853,175.668,2.15686,231.252,0.791439,249.065,1.07673,365.919,2.43356,450.202,1.04967,611.169,0.851733,795.55,1.84958,1271.22,0.976752,2811.8,2.10191,0
0.05,0.804102,9.45844,63.341,27.7067,16.6766,46.7155,6.22684,53.6762,3.88572,90.8855,1.11485,106.055,1.93137,125.551,6.34378,176.016,2.17189,231.338,0.790837,253.019,1.1344,372.763,2.25259,451.704,1.06893,612.026,0.875983,800.684,1.80175,1274.29,0.971134,2816.02,2.10314,0
0.05,0.823438,9.75465,62.101,28.0666,15.9832,48.0548,6.02375,53.946,3.94671,91.0132,1.10973,107.103,2.09885,129.054,5.90028,176.377,2.18782,231.43,0.790041,256.95,1.19157,379.864,2.07564,453.254,1.09009,612.886,0.9009,805.987,1.75381,1277.47,0.965433,2820.39,2.10442,0
0.05,0.842773,10.0544,60.9327,28.4354,15.3209,49.416,5.7552,54.242,4.06396,91.1438,1.10443,108.155,2.24043,132.665,5.4938,176.752,2.20496,231.529,0.789054,260.859,1.24712,387.212,1.90287,454.86,1.11371,613.751,0.92644,811.457,1.70587,1280.74,0.95965,2824.93,2.10574,0
0.05,0.862109,10.3572,59.8324,28.8136,14.6876,50.784,5.37168,54.5792,4.28929,91.2777,1.09903,109.218,2.35983,136.378,5.11956,177.14,2.22374,231.634,0.787875,264.748,1.30013,394.79,1.73404,456.532,1.14054,614.619,0.952563,817.093,1.65801,1284.12,0.95379,2829.62,2.10711,0
0.05,0.881445,10.6628,58.796,29.2015,14.0814,52.1223,4.76626,54.9937,4.7316,91.4152,1.09355,110.294,2.46045,140.187,4.7729,177.543,2.24477,231.746,0.786508,268.621,1.34987,402.577,1.56844,458.285,1.17167,615.491,0.979232,822.895,1.61035,1287.61,0.947854,2834.49,2.10853,0
0.05,0.900781,10.9708,57.8198,29.5993,13.5007,53.3385,3.80689,55.5773,5.52467,91.5565,1.08803,111.387,2.54524,144.091,4.44939,177.961,2.26896,231.865,0.784954,272.479,1.39582,410.542,1.40475,460.143,1.2086,616.367,1.00642,828.861,1.56296,1291.2,0.941845,2839.51,2.11,0
0.05,0.920117,11.2808,56.9,30.0072,12.944,54.2744,2.83863,56.4881,6.32489,91.702,1.08248,112.497,2.61663,148.084,4.14461,178.395,2.2977,231.991,0.783217,276.328,1.43762,418.638,1.24098,462.148,1.25335,617.249,1.03409,834.992,1.51594,1294.9,0.935765,2844.7,2.11153,0
0.05,0.939453,11.5926,56.0329,30.4256,12.4103,54.9047,2.47567,57.7513,6.51932,91.8517,1.0769,113.627,2.67664,152.164,3.85379,178.848,2.33319,232.123,0.7813,280.17,1.47505,426.789,1.07466,464.367,1.3083,618.137,1.06224,841.284,1.46935,1298.72,0.929615,2850.06,2.1131,0
0.05,0.958789,11.9059,55.2148,30.8545,11.8983,55.3735,2.43547,59.2222,6.39157,92.0058,1.0713,114.778,2.72692,156.327,3.57101,179.321,2.37916,232.263,0.779209,284.01,1.50802,434.867,0.904092,466.921,1.37494,619.032,1.09086,847.738,1.42327,1302.64,0.923398,2855.58,2.11473,0
0.05,0.978125,12.2202,54.4425,31.2941,11.4074,55.7799,2.45175,60.8017,6.2088,92.1647,1.06569,115.95,2.76884,160.565,3.28767,179.82,2.44232,232.41,0.776948,287.85,1.53654,442.651,0.733409,470.022,1.44888,619.934,1.11993,854.35,1.37777,1306.68,0.917115,2861.28,2.11641,0
0.05,0.997461,12.5354,53.7127,31.7444,10.9366,56.164,2.46297,62.4495,6.03331,92.3283,1.06005,117.143,2.80352,164.868,2.98883,180.357,2.53595,232.564,0.774526,291.695,1.56069,449.787,0.584722,474.018,1.50764,620.846,1.14947,861.121,1.33291,1310.84,0.910767,2867.15,2.11814,0
0.05,1.0168,12.8511,53.0222,32.2056,10.4853,56.5421,2.4612,64.1489,5.87368,92.4968,1.05438,118.359,2.83191,169.208,2.64364,180.957,2.6895,232.725,0.77195,295.549,1.58061,455.85,0.502879,479.324,1.50598,621.769,1.17949,868.046,1.28875,1315.12,0.904355,2873.18,2.11993,0
0.05,1.03613,13.167,52.3681,32.6777,10.0529,56.9218,2.44809,65.8922,5.72875,92.6705,1.04869,119.598,2.85479,173.511,2.17813,181.694,2.97564,232.894,0.769232,299.415,1.59649,460.636,0.50984,486.137,1.42153,622.706,1.21001,875.126,1.24532,1319.52,0.897879,2879.4,2.12178,0
0.05,1.05547,13.4829,51.7477,33.1607,9.63888,57.3071,2.42635,67.6752,5.59631,92.8494,1.04297,120.86,2.87284,177.505,1.45502,182.84,3.53052,233.07,0.766389,303.295,1.60854,464.346,0.568855,494.245,1.29058,623.659,1.24108,882.357,1.20269,1324.05,0.89134,2885.78,2.12368,0
0.05,1.0748,13.7986,51.1584,33.6545,9.24278,57.7001,2.39819,69.4954,5.47447,93.0338,1.03723,122.145,2.88662,180.32,0.967431,185.264,3.86002,233.254,0.763441,307.194,1.617,467.347,0.636837,503.274,1.15577,624.632,1.27273,889.737,1.16089,1328.71,0.884738,2892.35,2.12563,0
0.05,1.09414,14.1138,50.5978,34.1592,8.86412,58.1025,2.36531,71.3512,5.36186,93.2237,1.03146,123.454,2.89661,181.694,1.25622,189.227,3.42232,233.446,0.760419,311.114,1.6221,469.926,0.69611,512.923,1.03429,625.63,1.30504,897.263,1.11995,1333.49,0.878072,2899.09,2.12764,0
0.05,1.11348,14.4283,50.0636,34.6747,8.50248,58.515,2.32894,73.2413,5.25749,93.4193,1.02568,124.786,2.90322,182.538,1.50576,193.819,3.03222,233.646,0.757368,315.058,1.62408,472.259,0.743943,523.006,0.928422,626.66,1.33807,904.934,1.07991,1338.41,0.871341,2906.02,2.1297,0
